epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4876.13,0.86784,0.44795,1.23702,0.96664,0.81759,0.90259,0.5725,1.4478,0.69049,1.86927,0.000282792,0.000282792,0.000282792
43,4986.13,0.87474,0.43868,1.23075,0.93899,0.85884,0.9047,0.56237,1.51977,0.71575,1.88366,0.000278079,0.000278079,0.000278079
44,5119.09,0.86916,0.438,1.22512,0.9029,0.82869,0.90474,0.57364,1.47717,0.7667,1.8734,0.000273367,0.000273367,0.000273367
45,5285.64,0.86026,0.4283,1.2213,0.97084,0.8794,0.9375,0.58184,1.44302,0.65895,1.82212,0.000268654,0.000268654,0.000268654
46,5397.96,0.85193,0.42971,1.22202,0.91423,0.83448,0.92269,0.56653,1.44673,0.68555,1.83185,0.000263942,0.000263942,0.000263942
47,5508.11,0.84335,0.42993,1.22197,0.96617,0.82612,0.91871,0.5744,1.44235,0.66846,1.8622,0.00025923,0.00025923,0.00025923
48,5632.24,0.85507,0.43041,1.22589,0.97322,0.81407,0.91589,0.57309,1.4613,0.70953,1.83079,0.000254517,0.000254517,0.000254517
49,5742.1,0.85392,0.42651,1.22362,0.91241,0.8671,0.93109,0.5849,1.44297,0.66151,1.82912,0.000249805,0.000249805,0.000249805
50,5852.11,0.8544,0.42597,1.22575,0.89385,0.85563,0.89724,0.55234,1.48702,0.68543,1.88855,0.000245092,0.000245092,0.000245092
51,5962.11,0.84342,0.42156,1.22256,0.9165,0.84375,0.90711,0.57613,1.43669,0.68746,1.84413,0.00024038,0.00024038,0.00024038
52,6072.04,0.84413,0.42616,1.21781,0.90156,0.8333,0.9066,0.56817,1.43973,0.6523,1.83013,0.000235668,0.000235668,0.000235668
53,6181.8,0.8463,0.41859,1.20679,0.90283,0.84415,0.89871,0.57551,1.4457,0.66394,1.84019,0.000230955,0.000230955,0.000230955
54,6291.78,0.84497,0.41914,1.2073,0.91465,0.8325,0.92315,0.58937,1.4591,0.63588,1.86484,0.000226243,0.000226243,0.000226243
55,6401.71,0.85445,0.42447,1.22034,0.90973,0.82743,0.88753,0.55454,1.48524,0.70791,1.88907,0.00022153,0.00022153,0.00022153
56,6511.55,0.83117,0.40734,1.21002,0.91428,0.83349,0.88244,0.55808,1.47887,0.69905,1.85725,0.000216818,0.000216818,0.000216818
57,6621.23,0.82241,0.40422,1.20415,0.91671,0.83171,0.89526,0.55772,1.44769,0.71918,1.81833,0.000212106,0.000212106,0.000212106
58,6731.16,0.83265,0.40618,1.20132,0.88909,0.85136,0.9035,0.56931,1.47027,0.68708,1.84269,0.000207393,0.000207393,0.000207393
59,6841.04,0.83637,0.41658,1.21043,0.9017,0.86152,0.92376,0.58517,1.43326,0.67995,1.84312,0.000202681,0.000202681,0.000202681
60,6972.54,0.81879,0.40351,1.19794,0.91559,0.8264,0.89296,0.5758,1.43472,0.70936,1.83716,0.000197968,0.000197968,0.000197968
61,7082.15,0.81679,0.40348,1.19068,0.88965,0.85509,0.89517,0.5708,1.45111,0.69867,1.83473,0.000193256,0.000193256,0.000193256
62,7192.07,0.83019,0.41172,1.20854,0.90619,0.83029,0.88232,0.5646,1.46029,0.65218,1.85518,0.000188544,0.000188544,0.000188544
63,7301.57,0.82919,0.40898,1.2053,0.90968,0.83611,0.88735,0.56847,1.44285,0.685,1.8404,0.000183831,0.000183831,0.000183831
64,7432.95,0.80449,0.39814,1.19895,0.89843,0.84426,0.88761,0.56676,1.4424,0.67157,1.84096,0.000179119,0.000179119,0.000179119
65,7542.6,0.80773,0.3945,1.18792,0.91153,0.8397,0.89252,0.57379,1.46589,0.66583,1.84376,0.000174406,0.000174406,0.000174406
66,7652.2,0.80582,0.39912,1.19191,0.90908,0.84763,0.88723,0.57479,1.45605,0.66097,1.8807,0.000169694,0.000169694,0.000169694
67,7762.06,0.7964,0.39232,1.18658,0.89715,0.84906,0.89704,0.58663,1.4147,0.67171,1.82042,0.000164982,0.000164982,0.000164982
68,7895.8,0.79667,0.39176,1.18491,0.9058,0.83755,0.89486,0.56959,1.45493,0.6853,1.83075,0.000160269,0.000160269,0.000160269
69,8005.38,0.78953,0.39154,1.17795,0.90694,0.83305,0.88692,0.56958,1.4913,0.69164,1.88817,0.000155557,0.000155557,0.000155557
70,8115.13,0.79375,0.38604,1.18759,0.90919,0.83373,0.90164,0.5774,1.44824,0.71181,1.84983,0.000150844,0.000150844,0.000150844
71,8224.85,0.80201,0.38506,1.19228,0.91531,0.84495,0.89778,0.57178,1.46129,0.6871,1.86158,0.000146132,0.000146132,0.000146132
72,8356.06,0.78974,0.38292,1.17874,0.90698,0.8388,0.89315,0.58035,1.42739,0.66428,1.85444,0.00014142,0.00014142,0.00014142
73,8465.98,0.79301,0.38597,1.18426,0.90669,0.84131,0.90376,0.58253,1.43409,0.66958,1.85018,0.000136707,0.000136707,0.000136707
74,8575.73,0.80073,0.38012,1.19074,0.91898,0.84351,0.89768,0.57741,1.46141,0.64853,1.87886,0.000131995,0.000131995,0.000131995
75,8686.05,0.79128,0.38348,1.17945,0.90882,0.83281,0.90689,0.57626,1.46006,0.69182,1.89727,0.000127282,0.000127282,0.000127282
76,8796.14,0.78801,0.3758,1.17144,0.89287,0.8476,0.89135,0.5799,1.4503,0.70261,1.85732,0.00012257,0.00012257,0.00012257
77,8912.87,0.78364,0.38324,1.17817,0.91168,0.84008,0.90065,0.58742,1.45598,0.67022,1.88643,0.000117858,0.000117858,0.000117858
78,9026.5,0.78476,0.38436,1.17954,0.90808,0.83317,0.89415,0.57789,1.46799,0.68472,1.87478,0.000113145,0.000113145,0.000113145
79,9137.44,0.77844,0.38011,1.17625,0.90814,0.85389,0.89828,0.57756,1.45639,0.67607,1.86127,0.000108433,0.000108433,0.000108433
80,9261.64,0.76555,0.36907,1.17033,0.91596,0.84611,0.89944,0.577,1.48162,0.68434,1.90535,0.00010372,0.00010372,0.00010372
81,9371.3,0.77719,0.37221,1.17394,0.9019,0.84463,0.89029,0.56139,1.50604,0.67952,1.91135,9.9008e-05,9.9008e-05,9.9008e-05
82,9481.09,0.77598,0.36499,1.17113,0.90241,0.84253,0.88307,0.56458,1.49319,0.66591,1.91945,9.42956e-05,9.42956e-05,9.42956e-05
83,9590.6,0.76697,0.37129,1.16735,0.89353,0.84253,0.89443,0.56947,1.49041,0.6939,1.92462,8.95832e-05,8.95832e-05,8.95832e-05
84,9700.45,0.76502,0.36481,1.16228,0.90714,0.83905,0.89956,0.56585,1.49371,0.67211,1.90868,8.48708e-05,8.48708e-05,8.48708e-05
85,9810.23,0.74816,0.35924,1.1556,0.90351,0.83755,0.8982,0.57229,1.47594,0.67488,1.89245,8.01584e-05,8.01584e-05,8.01584e-05
86,9919.9,0.76258,0.37044,1.1685,0.90051,0.83629,0.89257,0.57148,1.47144,0.6636,1.89593,7.5446e-05,7.5446e-05,7.5446e-05
87,10029.3,0.74857,0.35996,1.15105,0.89519,0.84121,0.88947,0.56582,1.48177,0.65556,1.91402,7.07336e-05,7.07336e-05,7.07336e-05
88,10139.4,0.74839,0.36117,1.15231,0.91255,0.83159,0.90002,0.57249,1.47836,0.65285,1.90483,6.60212e-05,6.60212e-05,6.60212e-05
89,10249.1,0.7458,0.36389,1.15851,0.91391,0.83802,0.90757,0.57552,1.49077,0.6585,1.91964,6.13088e-05,6.13088e-05,6.13088e-05
90,10358.9,0.74129,0.35724,1.15156,0.90373,0.83693,0.89198,0.57016,1.48996,0.65893,1.91798,5.65964e-05,5.65964e-05,5.65964e-05
91,10478.3,0.72811,0.31876,1.23249,0.89981,0.84156,0.90425,0.5701,1.4575,0.6679,1.89932,5.1884e-05,5.1884e-05,5.1884e-05
92,10597.9,0.70848,0.30125,1.22115,0.90175,0.84125,0.90148,0.57381,1.46125,0.66319,1.91265,4.71716e-05,4.71716e-05,4.71716e-05
93,10717.1,0.7092,0.29655,1.21764,0.90423,0.83171,0.90181,0.57578,1.45205,0.65937,1.91127,4.24592e-05,4.24592e-05,4.24592e-05
94,10850.1,0.69979,0.29345,1.21513,0.8973,0.83469,0.89835,0.56822,1.4837,0.66302,1.93471,3.77468e-05,3.77468e-05,3.77468e-05
95,11015.8,0.69018,0.28451,1.19711,0.89835,0.83627,0.90458,0.58287,1.48131,0.67026,1.94407,3.30344e-05,3.30344e-05,3.30344e-05
96,11136.3,0.6995,0.28579,1.21032,0.89785,0.83746,0.89413,0.57551,1.47803,0.6647,1.92796,2.8322e-05,2.8322e-05,2.8322e-05
97,11255.5,0.69569,0.28852,1.20647,0.89797,0.83749,0.89886,0.57194,1.47458,0.66477,1.92278,2.36096e-05,2.36096e-05,2.36096e-05
98,11374.7,0.69348,0.28986,1.20959,0.89821,0.83912,0.89684,0.57226,1.47616,0.65876,1.92529,1.88972e-05,1.88972e-05,1.88972e-05
99,11493.8,0.68875,0.28205,1.20078,0.90477,0.83607,0.9,0.57613,1.47602,0.662,1.92361,1.41848e-05,1.41848e-05,1.41848e-05
100,11612.9,0.68076,0.27965,1.18579,0.91214,0.82997,0.90188,0.57639,1.47588,0.66229,1.92791,9.4724e-06,9.4724e-06,9.4724e-06
